,GROUP_SET,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING
0,On/Off Court,ATL,Atlanta Hawks,"Bey, Saddiq",Off,82,1909.0,-4.0,111.3,115.1,-3.8
1,On/Off Court,ATL,Atlanta Hawks,"Bogdanovic, Bogdan",Off,82,1570.0,-9.4,112.4,120.3,-8.0
2,On/Off Court,ATL,Atlanta Hawks,"Bufkin, Kobe",Off,82,3775.0,-1.8,117.2,118.9,-1.7
3,On/Off Court,ATL,Atlanta Hawks,"Capela, Clint",Off,82,2088.0,-3.7,115.3,118.4,-3.1
4,On/Off Court,ATL,Atlanta Hawks,"Fernando, Bruno",Off,82,3289.0,-1.2,117.4,118.7,-1.2
5,On/Off Court,ATL,Atlanta Hawks,"Forrest, Trent",Off,82,3557.0,-1.1,117.1,118.3,-1.1
6,On/Off Court,ATL,Atlanta Hawks,"Griffin, AJ",Off,82,3800.0,-1.6,116.6,118.1,-1.4
7,On/Off Court,ATL,Atlanta Hawks,"Gueye, Mouhamed",Off,82,3898.0,-1.7,116.8,118.4,-1.6
8,On/Off Court,ATL,Atlanta Hawks,"Hunter, De'Andre",Off,82,2290.0,-2.7,114.4,117.0,-2.5
9,On/Off Court,ATL,Atlanta Hawks,"Johnson, Jalen",Off,82,2082.0,-2.4,116.4,118.9,-2.6
10,On/Off Court,ATL,Atlanta Hawks,"Krejci, Vit",Off,55,2129.0,-4.2,113.1,117.0,-3.9
11,On/Off Court,ATL,Atlanta Hawks,"Lundy, Seth",Off,82,3919.0,-2.0,116.5,118.4,-1.9
12,On/Off Court,ATL,Atlanta Hawks,"Mathews, Garrison",Off,82,2979.0,-1.3,116.4,117.8,-1.4
13,On/Off Court,ATL,Atlanta Hawks,"Matthews, Wesley",Off,82,3558.0,-1.5,116.7,118.1,-1.4
14,On/Off Court,ATL,Atlanta Hawks,"Mills, Patty",Off,58,2602.0,-1.1,117.9,119.1,-1.1
15,On/Off Court,ATL,Atlanta Hawks,"Murray, Dejounte",Off,82,1188.0,-1.0,111.7,112.5,-0.8
16,On/Off Court,ATL,Atlanta Hawks,"Norris, Miles",Off,27,1301.0,0.3,119.7,119.7,0.1
17,On/Off Court,ATL,Atlanta Hawks,"Okongwu, Onyeka",Off,82,2566.0,-2.7,114.1,116.6,-2.5
18,On/Off Court,ATL,Atlanta Hawks,"Windler, Dylan",Off,22,998.0,-0.9,114.5,115.1,-0.5
19,On/Off Court,ATL,Atlanta Hawks,"Young, Trae",Off,82,2029.0,-1.5,113.2,115.3,-2.1
